鄉鎮市區碼(新),醫院家數,病床總計,一般病床小計,特殊病床小計,精神病床小計,急性病床小計,慢性病床小計,急性一般病床,精神急性一般病床,慢性一般病床,精神慢性一般病床,慢性結核病床, 漢生病病床,國際醫療病床,加護病床,燒傷病床,燒傷加護病床,嬰兒病床,急診觀察病床,其他,安寧病床,慢性呼吸照護病床,亞急性呼吸照護病床,急性結核病床,精神科加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床,性侵害犯罪加害人強制治療病床,手術恢復床,嬰兒床,血液透析床,腹膜透析床,產科病床
0101,5,1325,695,477,153,745,103,695,50,0,103,0,0,0,56,0,0,33,65,0,0,84,0,0,0,0,0,12,0,0,15,70,142,0,0
0102,5,1441,1064,377,0,1064,0,1064,0,0,0,0,0,0,62,0,4,23,63,0,0,37,0,0,0,0,0,2,0,0,19,52,115,0,0
0109,1,3212,1849,823,540,2256,133,1849,407,0,133,0,0,0,157,0,0,35,111,11,11,186,33,0,12,5,0,32,0,0,27,50,153,0,0
0110,4,1258,792,466,0,772,20,772,0,20,0,0,0,0,100,0,8,55,39,0,0,90,10,0,0,20,9,4,0,0,12,71,48,0,0
0111,3,2115,1433,564,118,1551,0,1433,118,0,0,0,0,0,118,8,3,46,48,2,15,82,24,0,0,0,1,18,2,0,40,51,106,0,0
0112,1,35,30,5,0,30,0,30,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0115,1,918,559,334,25,584,0,559,25,0,0,0,0,0,74,0,3,25,61,0,0,0,0,0,0,0,0,2,0,0,15,49,105,0,0
0116,6,5098,3442,948,708,3866,284,3375,491,67,217,0,0,0,325,10,6,41,97,6,36,32,28,0,0,90,33,24,11,0,54,39,116,0,0
0117,2,852,520,307,25,545,0,520,25,0,0,0,0,0,59,0,0,17,32,0,20,72,15,0,0,0,0,4,0,0,13,15,60,0,0
0118,4,2703,1854,781,68,1922,0,1854,68,0,0,0,0,0,260,10,4,48,122,0,17,0,15,0,0,96,0,51,14,0,54,20,70,0,0
0119,4,456,250,206,0,171,79,171,0,79,0,0,0,0,14,0,0,0,10,2,0,30,0,0,0,0,0,0,0,0,4,16,130,0,0
0120,2,844,542,264,38,580,0,542,38,0,0,0,0,0,46,4,0,10,29,6,10,60,10,0,0,0,0,12,0,0,8,15,54,0,0
0301,11,1154,724,404,26,705,45,679,26,45,0,0,0,0,49,4,0,10,31,2,0,122,15,0,0,0,0,0,0,0,10,45,116,0,0
0302,2,162,106,56,0,76,30,76,0,30,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,45,0,0
0303,3,407,233,75,99,269,63,233,36,0,63,0,0,0,35,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,3,5,22,1,0
0304,2,450,0,0,450,80,370,0,80,0,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0305,1,1164,807,307,50,795,62,745,50,62,0,0,0,0,87,0,0,16,34,0,10,40,10,0,0,0,0,0,0,0,12,20,78,0,0
0306,3,1490,852,458,180,832,200,752,80,100,100,0,0,0,90,0,10,20,31,10,0,140,20,0,0,0,0,0,0,0,6,20,111,0,0
0309,1,1036,806,180,50,496,360,446,50,360,0,0,0,0,52,0,0,5,22,4,18,0,10,0,0,0,0,1,0,0,10,6,52,0,0
0310,2,260,157,103,0,157,0,157,0,0,0,0,0,0,12,0,0,0,7,0,0,58,0,0,0,0,0,0,0,0,3,0,23,0,0
0312,1,248,0,0,248,40,208,0,40,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0315,1,99,44,55,0,44,0,44,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0,0,0,0,0,0,0,0,1,0,13,0,0
0318,3,191,96,95,0,96,0,96,0,0,0,0,0,0,0,0,0,0,8,0,0,55,0,0,0,0,0,0,0,0,2,0,30,0,0
0319,3,1070,643,151,276,769,150,643,126,0,150,0,0,0,47,4,0,7,23,0,0,0,0,0,0,0,0,0,0,0,8,15,47,0,0
0320,3,736,524,212,0,524,0,524,0,0,0,0,0,0,40,0,0,10,26,4,0,30,10,0,0,0,0,4,0,0,11,12,65,0,0
0322,3,512,339,173,0,339,0,339,0,0,0,0,0,0,33,0,0,9,10,8,0,63,0,0,0,0,0,1,0,0,5,15,29,0,0
0323,3,259,114,145,0,114,0,114,0,0,0,0,0,0,0,0,0,16,3,0,0,20,0,0,0,0,0,0,0,0,2,38,66,0,0
0324,3,1011,388,183,440,478,350,388,90,0,350,0,0,0,30,4,0,7,10,4,0,30,10,0,0,0,0,31,0,0,6,15,36,0,0
0325,4,1519,897,358,264,1022,139,897,125,0,139,0,0,0,113,5,0,30,37,11,20,20,16,0,0,0,0,0,0,0,23,25,58,0,0
0326,8,2671,1661,715,295,1746,210,1661,85,0,210,0,0,0,167,6,0,50,77,0,18,72,59,0,0,0,0,0,0,0,28,53,185,0,0
0327,2,2183,1450,663,70,1520,0,1450,70,0,0,0,0,0,203,8,0,36,120,15,18,40,22,0,0,0,19,20,0,0,45,45,72,0,0
0328,3,796,510,286,0,510,0,510,0,0,0,0,0,0,54,0,0,17,20,2,0,60,15,0,0,0,0,0,0,0,5,33,80,0,0
0329,6,347,249,98,0,179,70,179,0,70,0,0,0,0,0,0,0,0,6,0,4,70,0,0,0,0,0,0,0,0,3,0,15,0,0
0501,4,472,184,188,100,184,100,184,0,0,100,0,0,0,16,0,0,0,14,0,0,89,0,0,0,0,0,0,0,0,3,0,65,1,0
0503,1,50,20,30,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
0504,1,346,269,77,0,269,0,269,0,0,0,0,0,0,20,0,0,5,5,0,0,0,0,0,0,0,0,2,0,0,4,12,29,0,0
0505,2,353,188,165,0,186,2,186,0,2,0,0,0,0,27,0,0,0,20,4,0,54,0,0,0,0,0,2,0,0,2,0,56,0,0
0506,2,275,64,11,200,47,217,47,0,17,200,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0507,2,76,40,36,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,4,0,30,0,0,0,0,0,0,0,0,0,2,0,0,0
0509,1,869,642,227,0,642,0,642,0,0,0,0,0,0,67,0,0,8,24,6,22,0,20,0,0,1,5,4,0,0,13,7,50,0,0
0527,2,604,51,58,495,228,318,51,177,0,318,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,51,0,0,0,0,0,0,0
0531,4,1993,1302,533,158,1101,359,1063,38,239,120,0,0,0,120,0,8,28,86,8,15,86,16,0,0,3,1,3,2,0,12,20,125,0,0
0532,3,1001,641,336,24,665,0,641,24,0,0,0,0,0,72,0,0,11,45,2,15,60,12,0,0,0,0,2,0,0,15,27,75,0,0
0533,1,40,0,0,40,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0534,7,1405,780,471,154,854,80,770,84,10,70,0,0,0,58,0,0,15,22,26,12,123,12,0,0,0,0,0,0,0,15,46,140,2,0
0535,5,1482,996,456,30,1016,10,986,30,10,0,0,0,0,126,4,14,23,75,6,20,20,12,0,2,22,6,20,2,0,12,40,52,0,0
0537,1,435,249,146,40,289,0,249,40,0,0,0,0,0,20,0,0,0,21,36,0,0,20,0,0,0,0,0,0,0,3,16,30,0,0
0701,8,483,249,234,0,249,0,249,0,0,0,0,0,0,16,0,0,0,15,9,0,108,0,0,0,0,0,0,0,0,4,22,60,0,0
0702,6,559,288,163,108,316,80,258,58,30,50,0,0,0,7,0,0,0,26,3,4,35,0,0,0,0,0,0,0,0,8,6,74,0,0
0703,5,596,237,219,140,277,100,237,40,0,100,0,0,0,26,0,0,0,9,0,0,80,0,0,0,0,0,10,0,0,7,6,81,0,0
0704,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0705,2,256,177,79,0,177,0,177,0,0,0,0,0,0,15,0,0,0,8,0,0,24,0,0,0,1,0,0,0,0,2,0,29,0,0
0706,3,370,45,26,299,115,229,45,70,0,229,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0
0710,1,2720,1751,719,250,1538,463,1388,150,363,100,0,0,0,203,16,0,40,130,0,10,0,20,0,0,5,9,44,0,0,20,30,192,0,0
0711,1,60,36,24,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
0712,2,1448,900,318,230,980,150,900,80,0,150,0,0,0,76,0,1,20,60,23,0,0,10,0,0,0,0,15,0,0,21,10,82,0,0
0714,1,26,20,6,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0715,2,76,40,36,0,40,0,40,0,0,0,0,0,0,0,0,0,0,2,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
0729,5,608,342,266,0,342,0,342,0,0,0,0,0,0,30,0,0,12,25,0,0,70,0,0,0,4,0,6,0,0,12,32,75,0,0
0730,5,2219,1470,611,138,1558,50,1470,88,0,50,0,0,0,132,16,4,24,76,5,20,24,16,0,0,0,0,87,2,0,43,92,70,0,0
0731,4,453,322,131,0,261,61,261,0,61,0,0,0,0,16,0,0,0,5,0,0,39,0,0,0,0,0,5,0,0,5,12,49,0,0
0732,12,2377,1531,805,41,1572,0,1531,41,0,0,0,0,0,152,13,0,24,74,4,20,98,24,0,0,0,0,15,4,0,36,136,205,0,0
0733,5,181,80,62,39,119,0,80,39,0,0,0,0,0,0,0,0,0,2,3,0,37,0,0,0,0,0,0,0,0,2,0,18,0,0
0734,7,745,580,162,0,580,0,580,0,0,0,0,0,3,22,0,0,6,22,0,0,40,0,0,0,0,0,0,0,0,11,28,33,0,0
0735,8,2761,1323,669,769,1733,359,1214,519,109,250,0,0,0,151,0,0,27,74,0,11,113,28,0,58,0,0,14,0,0,21,59,113,0,0
0736,5,265,150,115,0,150,0,150,0,0,0,0,0,0,0,0,0,0,13,2,0,38,0,0,0,0,0,0,0,0,4,58,0,0,0
0737,1,36,20,16,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0
0738,4,653,427,226,0,427,0,427,0,0,0,0,0,0,20,0,0,10,31,0,0,65,0,0,0,0,0,7,0,0,10,25,58,0,0
1101,2,232,16,16,200,66,150,16,50,0,150,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,1,125,48,77,0,48,0,48,0,0,0,0,0,0,6,0,0,0,6,0,0,54,0,0,0,0,0,0,0,0,1,0,10,0,0
1104,1,176,119,57,0,92,27,92,0,27,0,0,0,0,8,0,0,0,4,0,0,30,0,0,0,0,0,0,0,0,0,0,15,0,0
1106,3,1335,775,289,271,849,197,775,74,0,197,0,0,0,63,2,0,9,30,3,12,0,10,0,0,0,5,20,0,0,6,15,114,0,0
1107,2,519,315,172,32,347,0,315,32,0,0,0,0,0,32,0,0,5,20,1,0,54,0,0,0,0,0,10,0,0,5,7,37,1,0
1201,3,1069,736,333,0,736,0,736,0,0,0,0,0,0,67,0,0,41,73,0,0,0,7,0,0,1,0,3,0,0,21,45,75,0,0
1204,5,1316,825,374,117,892,50,775,117,50,0,0,0,0,58,0,4,15,52,9,6,87,12,0,0,0,0,7,0,0,7,35,82,0,0
2201,4,1975,1316,626,33,1249,100,1216,33,100,0,0,0,0,133,8,0,35,64,11,21,55,18,0,0,0,6,15,0,0,26,46,188,0,0
2202,8,1506,731,475,300,643,388,568,75,163,225,0,0,0,71,0,0,0,17,5,0,247,0,0,0,1,0,7,0,0,7,2,116,2,0
3101,8,1654,904,722,28,932,0,904,28,0,0,0,0,0,92,4,0,20,55,10,0,200,46,0,0,10,0,26,1,0,16,40,202,0,0
3102,5,817,442,375,0,442,0,442,0,0,0,0,0,0,44,0,0,0,43,3,0,154,0,0,0,1,0,18,0,0,7,6,97,2,0
3103,4,513,298,215,0,298,0,298,0,0,0,0,0,0,17,0,0,8,12,3,0,87,0,0,0,0,0,2,0,0,7,28,51,0,0
3104,7,1266,849,382,35,884,0,849,35,0,0,0,0,0,61,0,0,12,42,6,10,114,10,0,0,0,0,0,0,0,13,28,86,0,0
3105,6,2361,1427,694,240,1326,341,1227,99,200,141,0,0,0,158,0,0,28,91,10,29,103,32,0,0,4,0,16,2,0,21,50,150,0,0
3106,8,1619,706,420,252,736,463,666,70,40,182,0,241,0,47,0,0,5,40,12,0,210,0,0,0,0,0,9,0,0,3,5,89,0,0
3107,1,213,148,65,0,148,0,148,0,0,0,0,0,0,12,0,0,0,8,2,0,20,0,0,0,0,0,0,0,0,1,0,22,0,0
3108,1,63,0,0,63,0,63,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3109,2,542,379,163,0,342,37,342,0,37,0,0,0,0,36,0,0,15,33,7,0,0,0,0,0,0,0,0,0,0,11,25,36,0,0
3110,5,2033,849,237,947,963,833,849,114,0,833,0,0,0,59,0,0,15,34,3,38,0,13,0,0,0,0,0,0,0,12,10,53,0,0
3111,1,626,440,161,25,465,0,440,25,0,0,0,0,0,37,0,0,12,31,6,13,0,0,0,0,0,0,0,0,0,10,16,36,0,0
3112,1,30,24,6,0,24,0,24,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3113,4,348,148,200,0,148,0,148,0,0,0,0,0,0,10,0,0,0,5,0,0,168,0,0,0,0,0,0,0,0,2,0,15,0,0
3114,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
3121,1,85,0,0,85,0,85,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3123,1,503,0,3,500,100,400,0,100,0,400,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3127,1,74,54,20,0,54,0,54,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0,12,0,0
3201,9,3645,1810,881,954,2165,599,1765,400,45,554,0,0,0,151,0,0,40,90,51,47,40,26,0,0,11,0,28,0,0,36,111,250,0,0
3202,11,1046,640,406,0,640,0,640,0,0,0,0,0,0,41,0,0,17,19,19,0,110,0,0,0,0,0,0,0,0,13,40,145,2,0
3204,2,585,386,199,0,295,91,295,0,91,0,0,0,0,25,0,0,0,25,8,0,62,0,0,0,0,0,0,0,0,6,20,53,0,0
3206,2,465,21,15,429,81,369,21,60,0,369,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0
3207,3,4409,3157,1127,125,2902,380,2877,25,280,100,0,0,0,305,28,0,54,160,0,12,15,24,0,0,0,36,127,5,0,51,40,266,4,0
3209,2,809,388,246,175,463,100,388,75,0,100,0,0,0,48,4,0,15,20,10,0,24,15,0,0,0,0,0,0,0,8,30,72,0,0
3210,5,960,611,349,0,611,0,611,0,0,0,0,0,0,54,0,0,5,28,15,0,44,10,0,0,0,0,0,0,0,11,63,119,0,0
3211,1,144,70,74,0,70,0,70,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,34,0,0,3,0,27,0,0
3301,1,180,0,0,180,60,120,0,60,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3303,4,819,315,166,338,403,250,315,88,0,250,0,0,0,18,0,0,0,24,1,4,60,0,0,0,0,0,7,0,0,5,4,43,0,0
3305,3,653,396,257,0,396,0,396,0,0,0,0,0,0,36,0,0,10,20,5,0,82,0,0,0,0,0,0,0,0,7,20,77,0,0
3306,1,421,146,105,170,176,140,146,30,0,140,0,0,0,12,0,0,3,10,0,0,30,0,0,0,4,0,0,0,0,2,15,29,0,0
3401,2,579,405,174,0,405,0,405,0,0,0,0,0,0,40,0,0,10,24,2,12,17,10,4,0,0,0,0,0,0,7,15,33,0,0
3402,2,1596,1161,435,0,1161,0,1161,0,0,0,0,0,0,86,5,0,28,55,9,24,16,20,6,0,0,0,11,0,0,14,30,131,0,0
3403,2,333,125,68,140,118,147,78,40,47,100,0,0,0,9,0,0,0,6,0,0,40,0,0,0,0,0,0,0,0,1,1,11,0,0
3405,1,40,20,20,0,20,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0
3406,1,99,0,0,99,40,59,0,40,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3407,2,806,240,79,487,212,515,132,80,108,407,0,0,0,10,0,0,0,4,0,0,46,0,0,0,0,0,0,0,0,2,2,15,0,0
3501,7,1536,774,443,319,921,172,774,147,0,172,0,0,0,67,4,0,14,47,0,0,117,0,0,0,1,0,13,0,0,12,40,128,0,0
3502,1,200,147,53,0,147,0,147,0,0,0,0,0,0,15,0,0,2,6,0,0,0,0,0,0,2,0,1,0,0,2,7,18,0,0
3503,1,53,30,23,0,30,0,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,19,0,0
3504,2,95,61,34,0,61,0,61,0,0,0,0,0,0,0,0,0,0,5,0,0,20,0,0,0,0,0,0,0,0,1,0,8,0,0
3505,3,1027,400,240,387,499,288,400,99,0,288,0,0,0,27,0,0,5,14,8,12,37,10,0,0,4,0,4,0,0,4,12,103,0,0
3508,1,51,20,31,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,15,0,0
3701,10,2986,1834,960,192,1771,255,1691,80,143,112,0,0,0,257,20,0,68,156,1,16,0,57,0,0,7,5,24,0,0,45,106,198,0,0
3702,4,1654,739,225,690,829,600,619,210,120,480,0,0,0,59,0,0,10,20,0,0,0,0,0,0,0,3,2,0,0,7,22,102,0,0
3703,1,89,49,40,0,49,0,49,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,1,0,15,0,0
3704,2,60,40,20,0,40,0,40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0
3705,7,955,372,284,299,432,239,372,60,0,239,0,0,0,42,0,0,0,35,2,0,78,0,0,0,0,0,0,0,0,7,12,108,0,0
3706,1,40,36,4,0,36,0,36,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3707,2,67,45,22,0,45,0,45,0,0,0,0,0,0,0,0,0,0,3,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0
3708,3,303,196,107,0,196,0,196,0,0,0,0,0,0,15,0,0,4,19,4,0,28,0,0,0,0,0,0,0,0,4,8,25,0,0
3710,1,39,39,0,0,39,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3715,1,52,52,0,0,9,43,9,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3717,1,641,328,113,200,378,150,328,50,0,150,0,0,0,35,0,0,0,5,0,0,12,10,0,0,0,0,0,0,0,3,5,43,0,0
3801,2,544,293,201,50,343,0,293,50,0,0,0,0,0,40,0,0,1,12,0,0,44,0,0,0,0,0,34,0,0,4,6,60,0,0
3802,2,729,438,221,70,434,74,414,20,24,50,0,0,0,32,0,0,8,20,0,0,70,0,0,0,6,0,0,0,0,6,8,71,0,0
3803,4,1316,231,142,943,424,750,231,193,0,750,0,0,0,16,0,0,10,9,9,0,0,0,0,4,0,0,0,0,0,4,15,75,0,0
3804,2,350,234,116,0,234,0,234,0,0,0,0,0,0,15,0,0,0,20,0,0,12,0,0,0,13,0,0,0,0,6,5,45,0,0
3806,1,41,20,21,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0
3901,5,1636,800,406,430,910,320,800,110,0,320,0,0,0,76,2,0,13,51,0,8,67,12,0,0,19,0,13,0,0,18,8,119,0,0
3902,1,74,21,53,0,21,0,21,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,2,0,27,0,0
3903,1,499,312,187,0,312,0,312,0,0,0,0,0,0,41,0,0,12,16,0,0,40,10,0,0,15,0,2,0,0,6,15,30,0,0
3904,2,341,220,121,0,220,0,220,0,0,0,0,0,0,24,0,0,0,14,3,0,30,8,0,0,0,0,0,0,0,2,3,37,0,0
3905,1,42,20,22,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
3906,4,547,346,201,0,346,0,346,0,0,0,0,0,0,33,0,0,3,11,0,0,58,12,0,0,0,0,3,0,0,6,10,65,0,0
3913,1,135,98,37,0,98,0,98,0,0,0,0,0,0,10,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,2,2,12,0,0
4001,2,1579,1050,405,124,1075,99,1050,25,0,99,0,0,0,104,4,0,8,42,5,10,20,20,0,0,0,9,43,2,0,15,12,111,0,0
4003,1,965,600,235,130,650,80,600,50,0,80,0,0,0,47,5,0,7,15,0,23,30,10,0,0,0,0,12,0,0,11,15,60,0,0
4014,1,498,110,58,330,92,348,40,52,70,278,0,0,0,8,0,0,0,2,0,0,36,0,0,0,8,0,4,0,0,0,0,0,0,0
4301,10,2266,1339,747,180,1358,161,1278,80,61,100,0,0,0,137,0,0,24,74,20,20,107,10,0,0,0,0,14,0,0,24,79,236,2,0
4302,3,139,124,15,0,124,0,124,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
4303,2,1061,755,286,20,760,15,740,20,15,0,0,0,0,70,0,0,7,23,2,0,16,10,0,0,0,0,0,0,0,5,34,117,2,0
4304,3,178,101,77,0,101,0,101,0,0,0,0,0,0,14,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,5,42,0,0
4306,1,333,0,0,333,60,273,0,60,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311,2,51,50,1,0,50,0,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4313,2,539,147,69,323,206,264,117,89,30,234,0,0,0,12,0,0,0,8,0,0,36,0,0,0,0,0,0,0,0,1,0,12,0,0
4315,2,243,23,0,220,143,100,23,120,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4316,1,210,160,50,0,160,0,160,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0
4401,3,471,237,118,116,273,80,237,36,0,80,0,0,0,23,4,0,6,24,0,0,0,0,0,0,0,0,6,0,0,7,9,39,0,0
4501,4,1701,1074,537,90,991,173,901,90,173,0,0,0,0,117,0,4,22,50,10,27,30,32,0,0,25,6,31,0,0,16,35,132,0,0
4502,1,246,85,45,116,111,90,85,26,0,90,0,0,0,8,0,0,0,6,0,0,20,0,0,0,0,0,10,0,0,1,0,0,0,0
4503,3,1608,167,57,1384,355,1196,167,188,0,1196,0,0,0,9,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,1,6,26,0,0
4504,1,390,177,72,139,266,52,177,89,0,50,2,0,0,12,2,0,3,8,0,0,24,0,0,0,0,0,0,0,0,4,4,15,0,0
4506,1,215,0,15,200,40,160,0,40,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
4508,1,23,20,3,0,20,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4601,5,1203,600,357,246,680,166,600,80,0,166,0,0,0,70,2,0,15,24,0,8,94,9,0,0,0,0,17,0,0,12,19,87,0,0
4602,1,26,20,6,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
4603,1,57,32,25,0,32,0,32,0,0,0,0,0,0,2,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
9003,1,400,233,65,102,244,91,214,30,19,72,0,0,0,9,0,0,5,11,0,0,0,0,0,0,0,0,2,0,0,3,20,15,0,0
9101,1,46,40,6,0,40,0,40,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
